mnemonic,count,sample_addr,flow,bytes,userops
add,7251,00000754,FALL_THROUGH,410a,
addi,5232,00000674,FALL_THROUGH,0c660400,
and,338,000032f6,FALL_THROUGH,5199,
andi,1011,00001112,FALL_THROUGH,d39e0200,
bc,1645,000002d0,CONDITIONAL_JUMP,a105,
be,4291,0000033c,CONDITIONAL_JUMP,a215,
bge,386,0000541c,CONDITIONAL_JUMP,9e0d,
bgt,435,00001dca,CONDITIONAL_JUMP,bf15,
bh,555,0000067a,CONDITIONAL_JUMP,bbfd,
bins,7,00003bca,FALL_THROUGH,fde7d860,
ble,461,0000147c,CONDITIONAL_JUMP,870d,
blt,766,00000ccc,CONDITIONAL_JUMP,86ed,
bn,7,00047d56,CONDITIONAL_JUMP,c405,
bnc,1432,000002d2,CONDITIONAL_JUMP,990d,
bne,6256,00000334,CONDITIONAL_JUMP,ea05,
bnh,434,0000066e,CONDITIONAL_JUMP,f305,
bp,12,00007c94,CONDITIONAL_JUMP,9ce5,
br,5082,00000680,UNCONDITIONAL_JUMP,8505,
callt,6,00001d5c,COMPUTED_CALL,2202,
clr1,20,0003b73e,FALL_THROUGH,de9f0500,
cmovc,103,0000428e,FALL_THROUGH,e00f020b,
cmove,207,00001bce,FALL_THROUGH,e0ef04eb,
cmovge,147,00032aaa,FALL_THROUGH,e1e73c0b,
cmovgt,30,00032836,FALL_THROUGH,e18f3e8b,
cmovh,44,000021f4,FALL_THROUGH,e1ef36eb,
cmovle,171,00032a68,FALL_THROUGH,e1e72e0b,
cmovlt,95,000332de,FALL_THROUGH,f38f2c8b,
cmovn,1,000b9b12,FALL_THROUGH,e00f080b,
cmovnc,69,00036ca0,FALL_THROUGH,e1973293,
cmovne,163,00002410,FALL_THROUGH,e157143b,
cmovnh,14,0003bad2,FALL_THROUGH,e19f0633,
cmovp,18,0004833a,FALL_THROUGH,f197383b,
cmp,11570,00000332,FALL_THROUGH,ee59,
di,17,000001b0,FALL_THROUGH,e0076001,__disable_irq
dispose,3619,0000076c,TERMINATOR,40067f00,
div,685,00032c82,FALL_THROUGH,ee9ffc02,
divh,2,0003040c,FALL_THROUGH,4310,
divqu,39,00054884,FALL_THROUGH,f30ffe0a,
ei,21,000013a6,FALL_THROUGH,e0876001,__enable_irq
eiret,7,00020112,TERMINATOR,e0074801,
feret,1,00064bca,TERMINATOR,e0074a01,
fetrap,3,00022e70,COMPUTED_CALL_TERMINATOR,4040,
jarl,13578,0000067c,UNCONDITIONAL_CALL,80ff880d,
jmp,3343,00000032,COMPUTED_CALL_TERMINATOR,e0061e1e0000,
jr,139,0000570a,UNCONDITIONAL_JUMP,80072802,
ld.b,23,00000418,FALL_THROUGH,0a5f0000,
ld.bu,6254,00000ebc,FALL_THROUGH,a007454c40ac,
ld.h,1679,000002ca,FALL_THROUGH,2a5f0000,
ld.hu,3517,00000cb6,FALL_THROUGH,fe970501,
ld.w,3332,000002ea,FALL_THROUGH,2a5f0100,
ldsr,242,00000204,FALL_THROUGH,ea2f2000,
loop,28,00001488,CONDITIONAL_JUMP,e8060b00,
mov,25600,000001b4,FALL_THROUGH,0008,
movea,10991,000003d8,FALL_THROUGH,205ea500,
movhi,2055,000003e6,FALL_THROUGH,405e0008,
mul,620,00001db8,FALL_THROUGH,ecf74002,
mulh,106,0000208e,FALL_THROUGH,f298,
mulhi,428,00000c9c,FALL_THROUGH,f3f63000,
mulu,122,000329a0,FALL_THROUGH,e1e72202,
nop,667,0000033e,FALL_THROUGH,0000,__nop
not,285,00001e28,FALL_THROUGH,3f00,
or,759,000006f4,FALL_THROUGH,0b61,
ori,580,0000026a,FALL_THROUGH,8a560100,
popsp,40,00033286,FALL_THROUGH,ff6760f9,
prepare,3621,00000748,FALL_THROUGH,80076100,
pushsp,40,0003327c,FALL_THROUGH,ff4760f9,
rie,9,0002c0a8,FALL_THROUGH,4000,
sar,94,000030e6,FALL_THROUGH,a832,
satadd,1,0002c0a2,FALL_THROUGH,cd18,
satsubi,1,00018478,FALL_THROUGH,7b4e0000,
set1,73,00001d0e,FALL_THROUGH,e63fe000,
setfc,17,000515d0,FALL_THROUGH,e10f0000,
setfe,80,00002448,FALL_THROUGH,e2ef0000,
setfge,2,000bf4d6,FALL_THROUGH,ee9f0000,
setfgt,16,000358b0,FALL_THROUGH,ef570000,
setfh,14,00004110,FALL_THROUGH,ebef0000,
setflt,5,000042ee,FALL_THROUGH,e6570000,
setfnc,11,00055618,FALL_THROUGH,e90f0000,
setfne,82,00003708,FALL_THROUGH,ea9f0000,
setfnh,2,0008f014,FALL_THROUGH,e3df0000,
shl,2646,00000758,FALL_THROUGH,c3f2,
shr,1312,000002ce,FALL_THROUGH,855a,
sld.b,57,00005c00,FALL_THROUGH,6993,
sld.bu,3788,00001540,FALL_THROUGH,6008,
sld.h,1347,00004002,FALL_THROUGH,03a4,
sld.hu,2465,00000d50,FALL_THROUGH,7190,
sld.w,2454,00000326,FALL_THROUGH,005d,
sst.b,6815,00000cda,FALL_THROUGH,8403,
sst.h,5269,00000d2c,FALL_THROUGH,8204,
sst.w,3779,000003f8,FALL_THROUGH,015d,
st.b,4451,0000040e,FALL_THROUGH,4a5f0000,
st.h,4104,00000ca6,FALL_THROUGH,a1074d008082,
st.w,2537,000003e2,FALL_THROUGH,6a5f0100,
stsr,82,00000444,FALL_THROUGH,f8574020,
sub,704,00001dc6,FALL_THROUGH,bc09,
subr,462,0000649a,FALL_THROUGH,9309,
switch,252,00005a28,COMPUTED_JUMP,4100,
sxb,10,00008792,FALL_THROUGH,b900,
sxh,431,00032818,FALL_THROUGH,e600,
synci,107,00000208,FALL_THROUGH,1c00,__synchronize
syncm,2,00001424,FALL_THROUGH,1e00,__synchronize
syncp,237,00000030,FALL_THROUGH,1f00,__synchronize
tst1,94,000035b2,FALL_THROUGH,c1ff0000,
xor,524,000006d4,FALL_THROUGH,2b51,
xori,245,0000161e,FALL_THROUGH,aa56ff00,
zxb,1828,0000107c,FALL_THROUGH,9300,
zxh,1365,00001bc4,FALL_THROUGH,dc00,
