stage,function_addr,role,input_state,output_state,hardware_or_calibration,evidence_grade
phase_result_window_read,0x61068/0x610a8,"read six indexed samples per channel bank and clear consumed low halves",FEEF81E0/FEEF8A20 indexed windows,0xFEBE5EA0..0xFEBE5EB6,"exact peripheral-module name unresolved",bounded
ch0_sample_snapshot,0x6578e,"copy sampled channel banks into application RAM during TAUJ0 CH0 work",0xFEBE5Dxx sampled state,0xFEBE5EA0..0xFEBE5EB6,none,recovered
phase_sample_publish,0x4fb02,"publish two three-phase raw sample sets plus paired zero/offset samples",0xFEBE5EA0..0xFEBE5EB6,0xFEBE81E4..0xFEBE81FA,none,recovered
phase_current_conditioning,0x47c3c,"offset/gain condition two U/V/W phase-sample sets with saturation and missing-phase reconstruction",0xFEBE81E4..0xFEBE81FA,0xFEBE7DE6..0xFEBE7DF0,"0x18758/0x1875A; gains 0xFEBE68DE..0xFEBE6900",recovered
clarke_park_feedback,0x35960,"transform each conditioned three-phase set into rotating-frame feedback using two angle coefficient pairs",0xFEBE7DE6..0xFEBE7DF0; 0xFEBE7CEE/0xFEBE7CF0; 0xFEBE7CFA/0xFEBE7CFC,0xFEBE6AE4/0xFEBE6AE8; 0xFEBE6AEC/0xFEBE6AF0,"fixed-point coefficients 0x3441/0x5A82",recovered
dq_feedback_combine,0x37644,"combine the two transformed feedback banks into bounded d/q feedback state",0xFEBE6DD0/0xFEBE6DD4/0xFEBE6DD8/0xFEBE6DDC,0xFEBE6D18/0xFEBE6D1C,none,recovered
dq_current_reference,0x37712,"construct bounded d/q current-reference state from upstream CH0 control state",0xFEBE6D4E/0xFEBE6D50/0xFEBE6D52/0xFEBE6D54/0xFEBE6D70/0xFEBE6D7E,0xFEBE6D28/0xFEBE6D2A,"0x1842C/0x1842E offsets",recovered
dq_current_pi_axis_a,0x36902,"PI-like saturated loop over d/q reference-minus-feedback axis A",0xFEBE6D2A minus 0xFEBE6D1C,0xFEBE6C18..0xFEBE6C20,"0x18334..0x18340 gain/limit block",recovered
dq_current_pi_axis_b,0x36a44,"PI-like saturated loop over d/q reference-minus-feedback axis B",0xFEBE6D28 minus 0xFEBE6D18,0xFEBE6C24..0xFEBE6C34,"0x18344..0x1834C gain/limit block",recovered
inverse_park_phase_command,0x38464/0x38554,"rotate two d/q command pairs back into bounded three-phase command triplets",0xFEBE6BE8..0xFEBE6BEE; angle coefficients 0xFEBE7CF2..0xFEBE7D02,0xFEBE6E10..0xFEBE6E20,none,recovered
phase_duty_publish,0x3875a,"finalize and publish two phase-command triplets into arbitration slot 0 via 0x3863A and 0x56B18",0xFEBE6DE2/4/6 and 0xFEBE6DF2/4/6,0xFEBE8B66..0xFEBE8B82,"0x3863A clamp/scale helper",recovered
phase_duty_select,0x569a8,"select one enabled arbitration slot for each three-phase output bank",0xFEBE8B56 and 0xFEBE8B66..0xFEBE8B82,0xFEBE8BA2/0xFEBE8BA4/0xFEBE8BA6 and 0xFEBE8BA8/0xFEBE8BAA/0xFEBE8BAC,none,recovered
tsg3_compare_stage,0x56d3e/0x60bfa,"convert selected normalized phase commands to TSG3 compare values for both channels",0xFEBE8BA2..0xFEBE8BAC,0xFEBE38A2/0xFEBE38A4/0xFEBE38A6 and 0xFEBE38AA/0xFEBE38AC/0xFEBE38AE,"period/scaling state 0xFEBE389C/0xFEBE38A0/0xFEBE38A8",recovered
tsg3_pwm_commit,0x60ddc,"commit staged W/V/U compare words for TSG30 and TSG31 at the start of TAUJ0 CH0 work",0xFEBE38A2..0xFEBE38AE,"TSG30CMPWE/VE/UE and TSG31CMPWE/VE/UE","FFE70180/184/188 and FFE71180/184/188; P1M-E manual section 25.3.48-50",verified
conditioned_2e4_boundary,0xc85b6,"rate-limit protected steering command; derive bounded threshold state",0xFEBEBF80; prior 0xFEBEBF9A,0xFEBEBF84/0xFEBEBF9A/0xFEBEBFA2,"0x1BD8C/0x1BD8E",recovered
conditioned_2e4_export,0xcb700,"scale command-derived 0xFEBEBFA2 into application export state",0xFEBEBFA2; gain 0xFEBEAE3C,0xFEBEAE16,"subsequent snapshots 0xFEBEE8CA/0xFEBEEB1C/0xFEBEEBA4",recovered
command_to_current_gap,none,"no recovered static reader carries 0xFEBEBF84/0xFEBEBF9A or the 0xFEBEAE16 snapshots into 0xFEBE6D28/0xFEBE6D2A or another proved current-reference state",0xFEBEBF84/0xFEBEBF9A/0xFEBEAE16,unresolved,"independent phase-current/PWM chain is proved; authenticated-command-to-actuation edge is not",bounded
